category,date,amount
Media & Entertainment,38108,0
Media & Entertainment,38139,0
Media & Entertainment,38169,0
Media & Entertainment,38200,0
Media & Entertainment,38231,0
Media & Entertainment,38261,0
Media & Entertainment,38292,0
Media & Entertainment,38322,0.000125597120108275
Media & Entertainment,38353,0.000125597120108275
Media & Entertainment,38384,0
Media & Entertainment,38412,0
Media & Entertainment,38443,0
Media & Entertainment,38473,0.00263753952227377
Media & Entertainment,38504,0.0879179840757923
Media & Entertainment,38534,0.0683248333389015
Media & Entertainment,38565,0.0197187478569991
Media & Entertainment,38626,0.00364231648313997
Media & Entertainment,38657,0.00025119424021655
Media & Entertainment,38687,0
Media & Entertainment,38718,0.00025119424021655
Media & Entertainment,38777,0.0025119424021655
Media & Entertainment,38808,0.00489828768422272
Media & Entertainment,38838,0.00364231648313997
Media & Entertainment,38869,0.00627985600541374
Media & Entertainment,38899,0.00477269056411444
Media & Entertainment,38930,0.0025119424021655
Media & Entertainment,38961,0.00238634528205722
Media & Entertainment,38991,0.00288873376249032
Media & Entertainment,39022,0.00163276256140757
Media & Entertainment,39052,0.00175835968151585
Media & Entertainment,39083,0.00263753952227377
Media & Entertainment,39114,0.00477269056411444
Media & Entertainment,39142,0.00678224448584684
Media & Entertainment,39173,0.00427030208368134
Media & Entertainment,39203,0.00514948192443927
Media & Entertainment,39234,0.00653105024563029
Media & Entertainment,39264,0.00477269056411444
Media & Entertainment,39295,0.00766142432660476
Media & Entertainment,39326,0.00590306464508891
Media & Entertainment,39356,0.00514948192443927
Media & Entertainment,39387,0.00615425888530546
Media & Entertainment,39417,0.00690784160595511
Media & Entertainment,39448,0.0111781436896365
Media & Entertainment,39479,0.0106757552092034
Media & Entertainment,39508,0.00929418688801233
Media & Entertainment,39539,0.00728463296627994
Media & Entertainment,39569,0.00577746752498064
Media & Entertainment,39600,0.00414470496357307
Media & Entertainment,39630,0.00464709344400617
Media & Entertainment,39661,0.00301433088259859
Media & Entertainment,39692,0.0533787760460168
Media & Entertainment,39722,0.550617774554677
Media & Entertainment,39753,0.82554987047169
Media & Entertainment,39783,0.940973623851195
Media & Entertainment,39814,1.21213780616496
Media & Entertainment,39845,1.21414736008669
Media & Entertainment,39873,1.3796843643894
Media & Entertainment,39904,1.38408026359319
Media & Entertainment,39934,1.21716169096929
Media & Entertainment,39965,1.43042560091314
Media & Entertainment,39995,1.42188499674578
Media & Entertainment,40026,1.4632064492614
Media & Entertainment,40057,1.63138099308638
Media & Entertainment,40087,1.72407166772629
Media & Entertainment,40118,1.56016742598499
Media & Entertainment,40148,1.73298906325398
Media & Entertainment,40179,1.9914679364368
Media & Entertainment,40210,2.12133535862876
Media & Entertainment,40238,2.70398039881105
Media & Entertainment,40269,2.64130743587702
Media & Entertainment,40299,2.64695930628189
Media & Entertainment,40330,2.93771663933255
Media & Entertainment,40360,2.89363205017454
Media & Entertainment,40391,3.28411349659117
Media & Entertainment,40422,3.28536946779225
Media & Entertainment,40452,3.50780196750401
Media & Entertainment,40483,3.61481071383626
Media & Entertainment,40513,3.79014429350741
Media & Entertainment,40544,4.01810306650393
Media & Entertainment,40575,3.7338767836989
Media & Entertainment,40603,4.5655809130559
Media & Entertainment,40634,4.2317437678081
Media & Entertainment,40664,4.40883570716077
Media & Entertainment,40695,4.69607632084839
Media & Entertainment,40725,4.20072127914136
Media & Entertainment,40756,5.25146678596718
Media & Entertainment,40787,5.43019148788126
Media & Entertainment,40817,5.42077170387314
Media & Entertainment,40848,5.25724425349217
Media & Entertainment,40878,5.37907345999719
Media & Entertainment,40909,6.01233413958311
Media & Entertainment,40940,6.11469579247136
Media & Entertainment,40969,6.61532591322294
Media & Entertainment,41000,7.56496573836161
Media & Entertainment,41030,7.25926234801806
Media & Entertainment,41061,6.58756894967901
Media & Entertainment,41091,6.65853132254019
Media & Entertainment,41122,8.39692106195882
Media & Entertainment,41153,9.32445579395843
Media & Entertainment,41183,8.39152038579416
Media & Entertainment,41214,7.44690444545983
Media & Entertainment,41244,7.30347253429618
Media & Entertainment,41275,9.88926604308534
Media & Entertainment,41306,9.46952046768348
Media & Entertainment,41334,10.9283310177411
Media & Entertainment,41365,11.9895010855359
Media & Entertainment,41395,12.1134654430828
Media & Entertainment,41426,11.6619437962935
Media & Entertainment,41456,13.0990260445724
Media & Entertainment,41487,13.9483137707446
Media & Entertainment,41518,14.9029774806876
Media & Entertainment,41548,14.5302052282062
Media & Entertainment,41579,13.3423076662221
Media & Entertainment,41609,13.2212320424378
Media & Entertainment,41640,15.3423162068263
Media & Entertainment,41671,15.2459832157033
Media & Entertainment,41699,18.9556197552213
Media & Entertainment,41730,18.4597623250338
Media & Entertainment,41760,17.55056477257
Media & Entertainment,41791,18.7778998302681
