category,date,amount
Liam,1,50.3515999897823
Liam,2,88.0532636580266
Liam,3,121.899552243708
Liam,4,150.023902230753
Liam,5,170.902774483365
Liam,6,183.434111950021
Liam,7,187.013972769703
Liam,8,181.567548433948
Liam,9,167.550988384611
Liam,10,145.92768024289
Liam,11,118.113511876307
Liam,12,85.8874661080965
Liam,13,51.2876186444698
Liam,14,16.4998376107987
Liam,15,16.2881842697777
Liam,16,45.0018793357004
Liam,17,67.8057022329427
Liam,18,83.2199041721253
Liam,19,90.1953414369802
Liam,20,88.1828100995136
Liam,21,77.1695379753533
Liam,22,57.6682370371452
Liam,23,30.6970328391106
Liam,24,2.28622100257998
Liam,25,39.4660497093416
Liam,26,78.7806578039871
Liam,27,118.042352563377
Liam,28,155.065265862141
Liam,29,187.796725211927
Liam,30,214.435852616291
Liam,31,233.544865034503
Liam,32,244.131181281087
Liam,33,245.702159958837
Liam,34,238.301591414173
Liam,35,222.502399346064
Liam,36,199.373798046221
Liam,37,170.417431477231
Liam,38,137.483441775261
Liam,39,102.653694992939
Liam,40,68.1195330489394
Liam,41,36.0613502753318
Liam,42,8.50809938948959
Liam,43,12.7740089697226
Liam,44,26.3946313035291
Liam,45,31.4104505661727
Liam,46,27.3908616845416
Liam,47,14.4362175358442
Liam,48,6.8221710523915
Liam,49,35.2640010509683
Liam,50,69.3420135531122
Liam,51,107.178697456146
Yi,1,62.2972415730952
Yi,2,63.8317282954973
Yi,3,55.7505847835845
Yi,4,38.741684395675
Yi,5,14.4854816755646
Yi,6,14.5237982286805
Yi,7,45.2609722186744
Yi,8,74.5110990282192
Yi,9,99.2234511901851
Yi,10,116.849065623483
Yi,11,125.641802264691
Yi,12,124.833505453723
Yi,13,114.736181408808
Yi,14,96.6963832823054
Yi,15,72.9492433393059
Yi,16,46.3703276612671
Yi,17,20.1472085478756
Yi,18,2.567209058763
Yi,19,19.0159579320739
Yi,20,27.1408917904048
Yi,21,25.8144092134889
Yi,22,14.9653508883967
Yi,23,4.41005280385939
Yi,24,30.3667806432072
Yi,25,60.2208493137688
Yi,26,90.8521966332522
Yi,27,119.058653519832
Yi,28,141.90079297019
Yi,29,157.046779037561
Yi,30,163.022336725869
Yi,31,159.378614984327
Yi,32,146.739626249393
Yi,33,126.738385522911
Yi,34,101.828976802064
Yi,35,75.0183372075626
Yi,36,49.5177588100703
Yi,37,28.4016888476935
Yi,38,14.2464593680323
Yi,39,8.8547729652998
Yi,40,13.0495232326034
Yi,41,26.5770910802714
Yi,42,48.1474858867363
Yi,43,75.5675411355567
Yi,44,105.987235114019
Yi,45,136.228118511274
Yi,46,163.128163396379
Yi,47,183.895735185178
Yi,48,196.430721847369
Yi,49,199.550784029661
Yi,50,193.122726095032
Yi,51,178.088040491474
Olga,1,73.6863808373444
Olga,2,13.3724770374371
Olga,3,111.077862885127
Olga,4,134.215587173808
Olga,5,64.9885232800429
Olga,6,30.8977385935271
Olga,7,63.6346717366157
Olga,8,0.503588983808519
Olga,9,104.538504486686
Olga,10,159.64500625837
Olga,11,118.117161071842
Olga,12,20.6179547718705
Olga,13,41.5844077173187
Olga,14,9.13576102148281
Olga,15,91.7498987348239
Olga,16,172.982815938226
Olga,17,164.241168034507
Olga,18,76.5509993321972
Olga,19,7.69250418745188
Olga,20,9.20327113887743
Olga,21,76.5017351924768
Olga,22,175.06103279532
Olga,23,200.486802684348
Olga,24,132.914648965636
Olga,25,36.5521670747684
Olga,26,1.64213799067995
Olga,27,62.8628668809961
Olga,28,167.988891848792
Olga,29,225.095152773571
Olga,30,185.676542606182
Olga,31,88.4875179266731
Olga,32,24.5171202008517
Olga,33,54.7178624472235
Olga,34,154.908350454142
Olga,35,237.626490240227
Olga,36,231.209379892203
Olga,37,144.577477894998
Olga,38,59.1753547930359
Olga,39,55.3309272970774
Olga,40,139.640116336354
Olga,41,239.002236956863
Olga,42,266.705104859634
Olga,43,200.822528673554
Olga,44,104.038564698412
Olga,45,66.9736856509982
Olga,46,126.256691712312
Olga,47,231.411910244387
Olga,48,290.490561355749
Olga,49,253.199432185175
Olga,50,156.37532705915
Olga,51,90.6733860520448
Mia,1,145.896662080844
Mia,2,139.098210799429
Mia,3,111.904405673769
Mia,4,67.1050566902526
Mia,5,9.64664839636102
Mia,6,53.9643035692782
Mia,7,116.473198483394
Mia,8,170.756806661971
Mia,9,210.702725584145
Mia,10,231.957464976846
Mia,11,232.45740476512
Mia,12,212.691537150635
Mia,13,175.628482700989
Mia,14,126.362518382823
Mia,15,71.4840913320658
Mia,16,18.2715220429656
Mia,17,26.199399342415
Mia,18,55.9275707670244
Mia,19,66.7182419635591
Mia,20,56.7030248181788
Mia,21,26.562494298132
Mia,22,20.5522692522433
Mia,23,79.4064948382129
Mia,24,143.327628424314
Mia,25,205.020928136392
Mia,26,257.461692569873
Mia,27,294.765593924819
Mia,28,312.902095732996
Mia,29,310.192568048374
Mia,30,287.516466994851
Mia,31,248.200034302438
Mia,32,197.616710396193
Mia,33,142.515682417811
Mia,34,90.2044644258173
Mia,35,47.6457215006952
Mia,36,20.6088317830334
Mia,37,12.9564687464648
Mia,38,26.1738549736711
Mia,39,59.1863023796404
Mia,40,108.488758653155
Mia,41,168.581886123204
Mia,42,232.639864541862
Mia,43,293.347881459532
Mia,44,343.807132717592
Mia,45,378.372312823638
Mia,46,393.350435896407
Mia,47,387.451511314331
Mia,48,361.943634525769
Mia,49,320.503370032076
Mia,50,268.763251141286
Mia,51,213.612959023183
Shu,1,15.7335065484814
Shu,2,2.49240055029869
Shu,3,11.604441800805
Shu,4,25.9986935879985
Shu,5,40.1174311123113
Shu,6,53.4005028591447
Shu,7,65.3242492692486
Shu,8,75.4142749230932
Shu,9,83.2746421051479
Shu,10,88.5988183904858
Shu,11,91.1787996336208
Shu,12,90.9215313484142
Shu,13,87.8489087080753
Shu,14,82.0904781540909
Shu,15,73.8907357872957
Shu,16,63.5872321946627
Shu,17,51.6087478515361
Shu,18,38.4460995573526
Shu,19,24.6411928490364
Shu,20,10.7578284367211
Shu,21,2.63289457839019
Shu,22,14.9817722683035
Shu,23,25.7797418559079
Shu,24,34.5834260837198
Shu,25,41.027905398255
Shu,26,44.8431393299347
Shu,27,45.8649140796911
Shu,28,44.0457901055712
Shu,29,39.4459791338999
Shu,30,32.2424671481172
Shu,31,22.716242204406
Shu,32,11.2431714428554
Shu,33,1.72424489021395
Shu,34,15.671470224389
Shu,35,30.0474760339083
Shu,36,44.2793386198013
Shu,37,57.8050818697018
Shu,38,70.0864494422205
Shu,39,80.6399229289903
Shu,40,89.0458448435043
Shu,41,94.9776121853937
Shu,42,98.2053256359636
Shu,43,98.6067371447964
Shu,44,96.1745483208227
Shu,45,91.020059627855
Shu,46,83.3567490046819
Shu,47,73.5057456583696
Shu,48,61.8739348910533
Shu,49,48.9375367200301
Shu,50,35.2311582911547
Shu,51,21.3149511190258
Diego,1,9.07919849069273
Diego,2,24.9185317096846
Diego,3,37.4571675674098
Diego,4,45.5711538391362
Diego,5,48.3956311831057
Diego,6,45.375921878022
Diego,7,36.2967233873293
Diego,8,21.2948805435842
Diego,9,0.855736352920999
Diego,10,24.2197107647619
Diego,11,52.8604219199877
Diego,12,83.7837048822587
Diego,13,115.57732097959
Diego,14,146.779767400277
Diego,15,175.960559494659
Diego,16,201.805986870194
Diego,17,223.203044888754
Diego,18,239.290523404116
Diego,19,249.522867683819
Diego,20,253.695722777914
Diego,21,251.955056507793
Diego,22,244.793510270661
Diego,23,233.021205475253
Diego,24,217.714654804348
Diego,25,200.162024281747
Diego,26,181.773727981666
Diego,27,164.018567106881
Diego,28,148.321552513748
Diego,29,135.990920801509
Diego,30,128.136027412757
Diego,31,125.60713490711
Diego,32,128.944324223725
Diego,33,138.341002725949
Diego,34,153.643904201319
Diego,35,174.349439666026
Diego,36,199.642013918032
Diego,37,228.434166687954
Diego,38,259.439556549759
Diego,39,291.24047103816
Diego,40,322.371758145917
Diego,41,351.406582418906
Diego,42,377.045830246722
Diego,43,398.180146186773
Diego,44,413.972039863812
Diego,45,423.886904131984
Diego,46,427.742279214547
Diego,47,425.700554312802
Diego,48,418.274441399394
Diego,49,406.28683406743
Diego,50,390.828841781829
Diego,51,373.195928957461
Omar,1,119.523925950524
Omar,2,121.304733371528
Omar,3,55.1959070622881
Omar,4,32.3482938186277
Omar,5,80.2220900402506
Omar,6,54.4332251955056
Omar,7,28.6644309262023
Omar,8,113.552017457751
Omar,9,143.484543832312
Omar,10,99.2800137209752
Omar,11,12.4200370028427
Omar,12,56.4567041195768
Omar,13,59.0038426028982
Omar,14,7.7928570646601
Omar,15,99.5537033860885
Omar,16,154.837191141213
Omar,17,137.133119003916
Omar,18,59.8139640116336
Omar,19,23.0027040538913
Omar,20,53.4442932055628
Omar,21,9.43317045757263
Omar,22,80.2257392357855
Omar,23,155.526889097298
Omar,24,166.279243740717
Omar,25,106.405068002759
Omar,26,18.1000098528279
Omar,27,37.0119657121588
Omar,28,19.9902931398773
Omar,29,58.8013122507143
Omar,30,146.788890389114
Omar,31,185.107268102747
Omar,32,148.843387475231
Omar,33,64.0525046253553
Omar,34,10.0407615141242
Omar,35,21.5266044600468
Omar,36,38.7197892224659
Omar,37,130.796290957658
Omar,38,193.044268391033
Omar,39,184.193144621268
Omar,40,111.566855086796
Omar,41,26.0735020964628
Omar,42,12.5842508019107
Omar,43,23.2873413056092
Omar,44,110.444727459831
Omar,45,190.593833589385
Omar,46,210.228330164615
Omar,47,157.203694445559
Omar,48,69.030007334883
Omar,49,7.24547773443344
Omar,50,15.3466918217879
Omar,51,89.0713892122482
Isabel,1,15.1149679053253
Isabel,2,23.4935208533279
Isabel,3,31.4013275773356
Isabel,4,38.7197892224659
Isabel,5,45.3449037159758
Isabel,6,51.1744935828897
Isabel,7,56.1118551415341
Isabel,8,60.0712322968402
Isabel,9,62.9796411381111
Isabel,10,64.7677469501848
Isabel,11,65.3808118000387
Isabel,12,64.7713961457197
Isabel,13,62.9103064229491
Isabel,14,59.7719982629829
Isabel,15,55.3491732747516
