category,date,amount
Bo,1,207.484295719157
Bo,2,89.1185719230288
Bo,3,37.8706983526154
Bo,4,146.559786731079
Bo,5,213.769690185653
Bo,6,224.771892098887
Bo,7,176.300343910863
Bo,8,77.2179304961301
Bo,9,53.2914552510844
Bo,10,189.640697837117
Bo,11,305.049671922292
Bo,12,377.002157727684
Bo,13,391.848502478073
Bo,14,347.589310042639
Bo,15,254.265746625329
Bo,16,131.930687600798
Bo,17,6.55418989476475
Bo,18,95.2824561274311
Bo,19,151.784728001119
Bo,20,150.414975955697
Bo,21,90.4257277728274
Bo,22,16.9672511433011
Bo,23,150.893652745764
Bo,24,285.05939274326
Yi,1,110.636934701122
Yi,2,88.7393126201295
Yi,3,66.4918882694729
Yi,4,44.0640395902527
Yi,5,21.6214623944149
Yi,6,0.670147506093924
Yi,7,22.6450942993276
Yi,8,44.1376821733399
Yi,9,64.9895795744931
Yi,10,85.0424549491498
Yi,11,104.149023131135
Yi,12,122.161998954275
Yi,13,138.948825769013
Yi,14,154.380629054945
Yi,15,168.335898549978
Yi,16,180.715216766943
Yi,17,191.419166218674
Yi,18,200.36305793462
Yi,19,207.473249331694
Yi,20,212.690826343425
Yi,21,215.975285549116
Yi,22,217.289805657223
Yi,23,216.615976021975
Yi,24,213.950114514217
Julia,1,116.524659218947
Julia,2,140.517412788771
Julia,3,152.193444337254
Julia,4,150.234551627133
Julia,5,134.184150643268
Julia,6,104.480414755028
Julia,7,62.4120891664396
Julia,8,10.0448483331001
Julia,9,49.8965321707624
Julia,10,114.22332849747
Julia,11,179.459610725306
Julia,12,242.07789912439
Julia,13,298.720091905944
Julia,14,346.388935938317
Julia,15,382.672636625402
Julia,16,405.855321781267
Julia,17,415.064326796327
Julia,18,410.295969541428
Julia,19,392.426596755308
Julia,20,363.161034236437
Julia,21,324.918440839231
Julia,22,280.688705437032
Julia,23,233.829929818618
Julia,24,187.869593713869
Shu,1,27.3213983253677
Shu,2,5.35749791959703
Shu,3,16.91570133514
Shu,4,39.3950998225214
Shu,5,61.9628694096074
Shu,6,84.5122283509216
Shu,7,106.932712771833
Shu,8,129.113858797711
Shu,9,150.948884683079
Shu,10,172.327326553306
Shu,11,193.149766921225
Shu,12,213.313106170512
Shu,13,232.72529107231
Shu,14,251.294268397758
Shu,15,268.927984917999
Shu,16,285.552798049944
Shu,17,301.087700952199
Shu,18,315.470097429137
Shu,19,328.637391285137
Shu,20,340.538032712035
Shu,21,351.124154030827
Shu,22,360.358933949967
Shu,23,368.209233307067
Shu,24,374.66032358551
Omar,1,7.18383398016069
Omar,2,24.2099991899316
Omar,3,43.7326479663601
Omar,4,65.6302700473522
Omar,5,89.6487985212569
Omar,6,115.420020472638
Omar,7,142.491034015509
Omar,8,170.327930422487
Omar,9,198.363661803801
Omar,10,226.020133882216
Omar,11,252.737663026268
Omar,12,278.008115412656
Omar,13,301.396999801165
Omar,14,322.576606697056
Omar,15,341.326008351069
Omar,16,357.567880050961
Omar,17,371.346407346584
Omar,18,382.842014566503
Omar,19,392.360318430529
Omar,20,400.298988887334
Omar,21,407.158795501911
Omar,22,413.481011259951
Omar,23,419.847412567843
Omar,24,426.828729444514
Olga,1,60.1807188988961
Olga,2,36.2431972663873
Olga,3,30.1492735159178
Olga,4,54.2819479936078
Olga,5,103.022291609901
Olga,6,156.100183370032
Olga,7,190.668011871184
Olga,8,194.891414011238
Olga,9,175.011598706836
Olga,10,151.60798580171
Olga,11,147.373537274193
Olga,12,173.575568336635
Olga,13,223.365318761921
Olga,14,275.8503877282
Olga,15,308.532966102319
Olga,16,310.705422303393
Olga,17,289.824067869005
Olga,18,267.0721918242
Olga,19,264.748768327798
Olga,20,292.983334683447
Olga,21,343.719392301404
Olga,22,395.5011745992
Olga,23,426.246953038125
Olga,24,426.401602462608
Hannah,1,248.488485982134
Hannah,2,221.041895265518
Hannah,3,82.1888048545191
Hannah,4,81.080483979056
Hannah,5,166.682622559669
Hannah,6,120.527133609738
Hannah,7,30.0756309328306
Hannah,8,193.286005699936
Hannah,9,269.465575774536
Hannah,10,212.757104668203
Hannah,11,59.4001075181713
Hannah,12,94.6491299128808
Hannah,13,153.007194880368
Hannah,14,78.4146224712978
Hannah,15,84.2471150518076
Hannah,16,235.689405041571
Hannah,17,283.542355531663
Hannah,18,199.453572033493
Hannah,19,36.5782710194343
Hannah,20,103.246901488317
Hannah,21,132.427775036637
Hannah,22,31.7289069231392
Hannah,23,137.836822764395
Hannah,24,272.713213688683
Isabel,1,54.9889167912454
Isabel,2,68.2556281344124
Isabel,3,80.6680855137675
Isabel,4,92.7086478485319
Isabel,5,104.984866449176
Isabel,6,118.015921526463
Isabel,7,132.129522575134
Isabel,8,147.340398111804
Isabel,9,163.361342062434
Isabel,10,179.680538474568
Isabel,11,195.694118166889
Isabel,12,210.89762944525
Isabel,13,225.000184106458
Isabel,14,238.023874925437
Isabel,15,250.292729267772
Isabel,16,262.336973731691
Isabel,17,274.7531132402
Isabel,18,288.03087097083
Isabel,19,302.420631706078
Isabel,20,317.867163508627
Isabel,21,334.013299850506
Isabel,22,350.310403487713
Isabel,23,366.169333755551
Isabel,24,381.118778122261
Emma,1,217.241937978216
Emma,2,47.0244714303599
Emma,3,251.493103372094
Emma,4,263.673586614724
Emma,5,72.4385268537679
Emma,6,204.943626602647
Emma,7,396.823058965616
Emma,8,385.522604590879
Emma,9,181.613656280608
Emma,10,82.7632170025996
Emma,11,237.298495482028
Emma,12,181.009787099292
Emma,13,54.0057883070307
Emma,14,322.845402125325
Emma,15,459.253558777828
Emma,16,380.566458749107
Emma,17,139.887768703375
Emma,18,107.433482336826
Emma,19,201.850638112982
Emma,20,80.3330117607205
Emma,21,183.856072935614
Emma,22,427.395777334286
Emma,23,500
Emma,24,359.280070107739
Mia,1,62.1285652215537
Mia,2,65.2988784234596
Mia,3,68.4728737545198
Mia,4,71.6431869564257
Mia,5,74.8135001583315
Mia,6,77.9838133602374
Mia,7,81.1541265621433
Mia,8,84.3207576348948
Mia,9,87.4910708368007
Mia,10,90.6613840387065
Mia,11,93.828015111458
Mia,12,96.9946461842096
Mia,13,100.161277256961
Mia,14,103.327908329713
Mia,15,106.494539402464
Mia,16,109.661170475216
Mia,17,112.827801547967
Mia,18,115.990750491564
Mia,19,119.157381564316
Mia,20,122.320330507913
Mia,21,125.48327945151
Mia,22,128.646228395107
Mia,23,131.809177338704
Mia,24,134.972126282301
